iter	Passed	Remaining
0	6	32764
1	16	40546
2	19	32321
3	28	35435
4	37	37449
5	46	38491
6	55	39453
7	64	40264
8	69	38416
9	78	38994
10	80	36482
11	89	37064
12	92	35364
13	93	33306
14	104	34685
15	113	35355
16	115	33933
17	125	34859
18	137	35931
19	139	34836
20	143	33999
21	146	33056
22	154	33494
23	162	33761
24	172	34348
25	181	34653
26	182	33561
27	183	32635
28	192	33043
29	194	32303
30	204	32735
31	205	31962
32	206	31139
33	215	31458
34	226	32073
35	235	32529
36	238	32032
37	249	32546
38	258	32852
39	259	32150
40	262	31793
41	272	32132
42	281	32495
43	291	32785
44	292	32228
45	302	32609
46	304	32068
47	308	31795
48	310	31399
49	313	31031
50	314	30561
51	326	31059
52	336	31420
53	345	31640
54	347	31214
55	348	30778
56	357	30991
57	358	30558
58	367	30761
59	376	30984
60	384	31163
61	393	31335
62	401	31496
63	402	31052
64	412	31289
65	420	31445
66	429	31635
67	438	31826
68	439	31424
69	442	31167
70	451	31343
71	459	31480
72	469	31711
73	474	31613
74	481	31626
75	482	31286
76	484	30977
77	493	31151
78	503	31336
79	506	31123
80	512	31094
81	513	30800
82	525	31119
83	536	31369
84	537	31084
85	548	31354
86	561	31685
87	564	31483
88	566	31249
89	575	31409
90	578	31184
91	587	31350
92	596	31455
93	604	31562
94	605	31278
95	615	31436
96	625	31592
97	626	31314
98	626	31032
99	635	31124
100	643	31229
101	645	30986
102	646	30739
103	655	30846
104	664	30955
105	672	31056
106	673	30807
107	675	30615
108	677	30405
109	678	30163
110	686	30254
111	687	30015
112	689	29799
113	699	29990
114	713	30321
115	716	30157
116	730	30481
117	731	30276
118	746	30613
119	756	30756
120	757	30550
121	766	30628
122	775	30735
123	776	30548
124	786	30654
125	787	30478
126	788	30269
127	793	30216
128	794	30012
129	803	30111
130	814	30273
131	816	30108
132	826	30254
133	836	30358
134	845	30469
135	853	30541
136	857	30446
137	859	30264
138	860	30082
139	861	29895
140	862	29721
141	864	29578
142	865	29403
143	866	29218
144	868	29064
145	876	29140
146	878	29002
147	880	28860
148	881	28690
149	882	28541
150	885	28427
151	887	28310
152	897	28426
153	907	28546
154	916	28632
155	918	28524
156	928	28640
157	929	28499
158	936	28499
159	937	28347
160	937	28186
161	947	28290
162	956	28376
163	966	28514
164	975	28590
165	984	28676
166	993	28762
167	1002	28846
168	1003	28696
169	1013	28792
170	1015	28688
171	1017	28548
172	1027	28659
173	1029	28561
174	1030	28422
175	1039	28489
176	1047	28555
177	1057	28638
178	1058	28497
179	1061	28422
180	1071	28515
181	1080	28603
182	1089	28677
183	1091	28562
184	1091	28419
185	1104	28578
186	1116	28731
187	1123	28744
188	1124	28622
189	1126	28522
190	1137	28635
191	1138	28509
192	1139	28381
193	1148	28444
194	1149	28323
195	1150	28208
196	1159	28269
197	1169	28366
198	1170	28237
199	1172	28148
200	1181	28209
201	1191	28299
202	1192	28174
203	1193	28051
204	1194	27940
205	1197	27857
206	1206	27938
207	1209	27866
208	1219	27960
209	1228	28030
210	1238	28101
211	1247	28185
212	1249	28082
213	1250	27973
214	1252	27879
215	1254	27780
216	1262	27828
217	1264	27741
218	1273	27803
219	1282	27870
220	1284	27785
221	1293	27847
222	1303	27929
223	1316	28059
224	1317	27967
225	1322	27934
226	1339	28165
227	1342	28104
228	1346	28049
229	1348	27971
230	1359	28073
231	1371	28180
232	1380	28237
233	1388	28280
234	1389	28179
235	1390	28078
236	1392	27977
237	1393	27881
238	1402	27932
239	1412	28010
240	1420	28056
241	1422	27972
242	1431	28027
243	1440	28082
244	1449	28133
245	1458	28182
246	1466	28224
247	1476	28295
248	1477	28195
249	1486	28235
250	1494	28279
251	1503	28336
252	1506	28260
253	1515	28319
254	1525	28377
255	1527	28305
256	1540	28429
257	1549	28483
258	1551	28398
259	1560	28442
260	1568	28484
261	1577	28522
262	1586	28583
263	1588	28491
264	1593	28472
265	1602	28511
266	1603	28429
267	1612	28464
268	1615	28412
269	1624	28466
270	1634	28518
271	1636	28441
272	1637	28356
273	1638	28266
274	1647	28311
275	1659	28411
276	1662	28343
277	1667	28329
278	1676	28373
279	1686	28421
280	1694	28460
281	1704	28508
282	1714	28577
283	1724	28629
284	1734	28693
285	1743	28743
286	1752	28786
287	1762	28829
288	1772	28900
289	1774	28823
290	1784	28877
291	1794	28935
292	1803	28972
293	1813	29021
294	1814	28936
295	1823	28982
296	1832	29024
297	1841	29061
298	1850	29099
299	1861	29161
300	1870	29195
301	1879	29241
302	1888	29272
303	1898	29320
304	1908	29383
305	1930	29610
306	1947	29765
307	1962	29896
308	1972	29938
309	1981	29971
310	1990	30013
311	1999	30039
312	2008	30077
313	2017	30109
314	2026	30140
315	2036	30181
316	2044	30209
317	2046	30127
318	2055	30156
319	2063	30183
320	2073	30222
321	2081	30247
