iter	Passed	Remaining
0	9	45255
1	13	32835
2	14	23340
3	22	27961
4	25	25855
5	26	22275
6	35	25258
7	40	25330
8	50	27986
9	58	28962
10	68	31136
11	77	32278
12	79	30349
13	87	31117
14	97	32457
15	102	32008
16	112	33012
17	114	31630
18	122	32212
19	124	30908
20	126	29969
21	135	30691
22	137	29827
23	145	30266
24	154	30833
25	155	29831
26	164	30256
27	172	30668
28	181	31137
29	183	30417
30	185	29676
31	188	29238
32	189	28474
33	198	28987
34	204	29078
35	207	28556
36	208	27973
37	218	28516
38	219	27962
39	220	27369
40	229	27701
41	239	28230
42	240	27758
43	250	28166
44	260	28650
45	265	28607
46	269	28377
47	274	28293
48	275	27885
49	277	27475
50	288	28005
51	304	28982
52	315	29436
53	317	29077
54	319	28754
55	323	28585
56	325	28250
57	329	28103
58	331	27730
59	334	27573
60	345	27994
61	348	27752
62	350	27475
63	361	27877
64	376	28585
65	378	28323
66	382	28170
67	385	27949
68	396	28310
69	397	28013
70	409	28419
71	411	28180
72	417	28157
73	430	28689
74	441	29005
75	453	29393
76	467	29921
77	481	30382
78	484	30168
79	494	30437
80	505	30668
81	513	30790
82	515	30516
83	523	30630
84	533	30834
85	534	30561
86	545	30807
87	554	30967
88	563	31121
89	567	30952
90	583	31469
91	586	31289
92	588	31025
93	601	31379
94	611	31555
95	619	31659
96	631	31911
97	641	32081
98	651	32263
99	653	31999
100	664	32237
101	666	31993
102	677	32198
103	686	32297
104	695	32406
105	704	32531
106	713	32642
107	715	32411
108	716	32145
109	725	32272
110	735	32391
111	736	32161
112	738	31949
113	747	32029
114	756	32129
115	765	32235
116	775	32365
117	784	32446
118	792	32523
119	802	32617
120	811	32718
121	820	32802
122	829	32878
123	838	32962
124	847	33069
125	857	33185
126	868	33334
127	871	33187
128	880	33254
129	889	33330
130	899	33419
131	908	33486
132	916	33534
133	917	33325
134	918	33109
135	923	33019
136	925	32843
137	926	32640
138	935	32730
139	937	32551
140	946	32611
141	956	32706
142	958	32540
143	967	32620
144	976	32683
145	985	32779
146	995	32857
147	1005	32954
148	1013	33002
149	1015	32820
150	1016	32630
151	1017	32468
152	1018	32276
153	1019	32089
154	1022	31949
155	1023	31778
156	1031	31829
157	1034	31711
158	1036	31554
159	1045	31619
160	1046	31466
161	1049	31346
162	1050	31167
163	1052	31026
164	1061	31112
165	1063	30963
166	1081	31307
