iter	Passed	Remaining
0	3	15957
1	6	15848
2	7	13074
3	19	24767
4	22	22699
5	24	20415
6	36	26216
7	50	31698
8	53	29845
9	69	34609
10	83	38033
11	90	37485
12	93	35704
13	94	33783
14	97	32400
15	100	31208
16	112	32882
17	116	32113
18	128	33697
19	145	36261
20	147	34907
21	148	33586
22	159	34407
23	170	35384
24	175	34917
25	180	34589
26	181	33504
27	193	34342
28	196	33673
29	208	34591
30	222	35650
31	231	35967
32	248	37357
33	260	38025
34	261	37096
35	272	37637
36	284	38164
37	295	38646
38	297	37828
39	299	37093
40	302	36647
41	306	36176
42	316	36493
43	319	36015
44	321	35346
45	332	35763
46	334	35213
47	337	34836
48	350	35374
49	353	34953
50	363	35267
51	364	34703
52	375	35067
53	385	35349
54	397	35783
55	399	35257
56	400	34738
57	412	35176
58	425	35648
59	439	36185
60	442	35854
61	454	36220
62	466	36528
63	476	36772
64	487	37015
65	489	36586
66	500	36867
67	502	36478
68	509	36410
69	522	36807
70	541	37557
71	555	38004
72	566	38260
73	579	38573
74	581	38187
75	592	38408
76	597	38230
77	609	38480
78	612	38148
79	624	38421
80	637	38707
81	649	38939
82	650	38535
83	661	38725
84	671	38845
85	673	38464
86	683	38608
87	694	38770
88	705	38919
89	715	39052
90	717	38722
91	729	38900
92	732	38626
93	735	38403
94	747	38595
95	758	38746
96	769	38893
97	775	38798
98	786	38926
99	798	39145
100	801	38854
101	811	38971
102	824	39190
103	836	39372
104	839	39128
105	850	39254
106	861	39388
107	864	39136
108	875	39294
109	887	39441
110	888	39120
111	899	39239
112	909	39342
113	910	39037
114	911	38738
115	912	38439
116	922	38520
117	933	38636
118	945	38790
119	956	38888
120	957	38606
121	958	38331
122	959	38039
123	970	38173
124	973	37959
125	985	38109
126	995	38212
127	998	37991
128	1000	37793
129	1012	37935
130	1026	38137
131	1028	37918
132	1039	38051
133	1041	37825
134	1042	37567
135	1053	37684
136	1055	37472
137	1059	37322
138	1071	37457
139	1078	37427
140	1080	37225
141	1080	36981
142	1092	37119
143	1104	37238
144	1115	37359
145	1127	37482
146	1129	37280
147	1131	37078
148	1138	37054
149	1139	36838
150	1140	36632
151	1142	36426
152	1153	36537
153	1154	36321
154	1155	36114
155	1166	36212
156	1169	36078
157	1170	35878
158	1172	35711
159	1176	35586
160	1178	35421
161	1181	35277
162	1193	35422
163	1206	35586
164	1209	35456
165	1212	35295
166	1214	35142
167	1215	34973
168	1219	34851
169	1223	34764
170	1234	34860
171	1246	34990
172	1248	34834
173	1250	34670
174	1262	34818
175	1273	34916
176	1275	34763
177	1288	34898
178	1299	35004
179	1300	34831
180	1302	34666
181	1313	34772
182	1315	34627
183	1327	34744
184	1338	34848
185	1350	34947
186	1361	35049
187	1363	34898
188	1365	34758
189	1366	34589
190	1378	34703
191	1381	34588
192	1393	34697
193	1396	34604
194	1398	34466
195	1413	34657
196	1415	34517
197	1427	34608
198	1437	34669
199	1442	34618
200	1452	34689
201	1454	34541
202	1462	34560
203	1464	34421
204	1465	34276
205	1474	34307
206	1483	34351
207	1484	34201
208	1486	34084
209	1488	33946
210	1497	33978
211	1505	34006
212	1514	34038
213	1523	34067
214	1531	34093
215	1533	33958
216	1538	33906
217	1538	33757
218	1540	33628
219	1542	33508
220	1543	33374
221	1553	33425
222	1556	33339
223	1557	33210
224	1558	33082
225	1560	32967
226	1563	32880
227	1566	32792
228	1577	32860
229	1587	32914
230	1599	33020
231	1610	33103
232	1621	33183
233	1624	33093
234	1635	33168
235	1646	33231
236	1655	33267
237	1664	33298
238	1673	33340
239	1681	33359
240	1683	33237
241	1692	33266
242	1701	33304
243	1712	33383
244	1714	33284
245	1724	33330
246	1725	33203
247	1734	33235
248	1744	33291
249	1748	33212
250	1751	33147
251	1764	33236
252	1764	33113
253	1774	33152
254	1775	33039
255	1788	33146
256	1798	33187
257	1808	33232
258	1818	33280
259	1828	33329
260	1829	33221
261	1838	33251
262	1847	33276
263	1857	33316
264	1858	33203
265	1867	33243
266	1876	33271
267	1886	33301
268	1895	33340
269	1896	33231
270	1905	33250
271	1915	33289
272	1924	33317
273	1926	33223
274	1935	33252
275	1943	33273
276	1948	33227
277	1958	33269
278	1967	33287
279	1977	33330
280	1986	33353
281	1994	33373
282	2004	33418
283	2015	33463
284	2026	33531
285	2037	33575
286	2046	33606
287	2055	33634
288	2065	33675
289	2075	33712
290	2084	33733
291	2093	33757
292	2102	33778
293	2112	33816
294	2122	33847
295	2131	33866
296	2139	33880
297	2148	33901
298	2157	33927
299	2166	33944
300	2177	33989
301	2186	34014
302	2196	34051
303	2209	34124
304	2223	34225
305	2233	34264
306	2244	34312
307	2254	34350
308	2266	34401
309	2277	34458
310	2288	34501
311	2297	34522
312	2309	34576
313	2319	34621
314	2329	34652
315	2342	34716
316	2344	34633
317	2354	34671
318	2364	34690
319	2373	34705
320	2381	34718
