iter	Logloss
0	0.6850268156
1	0.6738840957
2	0.6639670939
3	0.6510921663
4	0.6419144567
5	0.6339759934
6	0.6227345096
7	0.6112751509
8	0.6049367559
9	0.5949866164
10	0.585869939
11	0.5783207443
12	0.5729807459
13	0.5687029762
14	0.56450547
15	0.5597484867
16	0.5545188187
17	0.5501392406
18	0.5454942264
19	0.5402215141
20	0.5379301748
21	0.5355559364
22	0.5310648834
23	0.5266656759
24	0.5241091058
25	0.5212429601
26	0.5196283323
27	0.5154875384
28	0.5134297747
29	0.5083973656
30	0.5045348469
31	0.5021073649
32	0.4995744845
33	0.4955318553
34	0.4946512874
35	0.4912503331
36	0.4879549687
37	0.4851518709
38	0.4842767105
39	0.4834166201
40	0.4815329933
41	0.4806795223
42	0.4768832223
43	0.475977532
44	0.4753518785
45	0.4737959942
46	0.4732922532
47	0.4722728852
48	0.4702472306
49	0.4695772583
50	0.4664135442
51	0.4659670189
52	0.463290474
53	0.4607484481
54	0.4581784096
55	0.4579624655
56	0.4577455665
57	0.4546361094
58	0.4535751613
59	0.4498397762
60	0.4494532375
61	0.4464555635
62	0.4451958258
63	0.4440750406
64	0.4418838562
65	0.441610379
66	0.4396440217
67	0.4395035454
68	0.438826065
69	0.4367824651
70	0.4344898528
71	0.4331173672
72	0.4321667361
73	0.4308776456
74	0.4307419329
75	0.4280448723
76	0.4277004746
77	0.4259943321
78	0.4258210411
79	0.4239181938
80	0.421693204
81	0.4211973188
82	0.4211362868
83	0.4203499112
84	0.4189769449
85	0.4188615601
86	0.418008973
87	0.41681234
88	0.4149344458
89	0.4140653964
90	0.4140042984
91	0.4124010224
92	0.4122849616
93	0.412183965
94	0.4118452453
95	0.4093217711
96	0.408803655
97	0.4085252594
98	0.4078603571
99	0.4068578787
100	0.4067353628
101	0.4058078861
102	0.4054691822
103	0.4043116848
104	0.4041700021
105	0.4029028801
106	0.4018803233
107	0.4017135124
108	0.401001136
109	0.400475164
110	0.4004748075
111	0.4000696609
112	0.399370953
113	0.3993666695
114	0.3993230029
115	0.3993128139
116	0.3975936145
117	0.3968975215
118	0.3964542172
119	0.3960985874
120	0.3960556166
121	0.3960340873
122	0.3960340063
123	0.3949843183
124	0.3948138999
125	0.3943617536
126	0.394187689
127	0.3940063347
128	0.394006192
129	0.3925691554
130	0.3921866997
131	0.3921610656
132	0.3914671337
133	0.391371902
134	0.3913678301
135	0.3904120089
136	0.3903004214
137	0.3901070036
138	0.3894428749
139	0.3892542668
140	0.3892469776
141	0.3892299418
142	0.3889185445
143	0.3882402068
144	0.3877962583
145	0.387087705
146	0.387078981
147	0.3870662037
148	0.3868880607
149	0.3868529537
150	0.3868423639
151	0.3868365087
152	0.3854744545
153	0.3854744535
154	0.3854531512
155	0.3842396761
156	0.3842179079
157	0.3842176724
158	0.3841773537
159	0.384133951
160	0.3840776836
161	0.3838531446
162	0.3826178582
163	0.3815325177
164	0.3814050126
165	0.381373913
166	0.3813632818
167	0.3813605019
168	0.3813275818
169	0.3811302603
170	0.3797686259
171	0.3776020128
172	0.3775510747
173	0.377526671
174	0.3768434233
175	0.3766618078
176	0.3766430457
177	0.3757434855
178	0.3747832278
179	0.3747787699
180	0.3747753317
181	0.3742626128
182	0.3742565807
183	0.3731023732
184	0.372536105
185	0.3717190713
186	0.3700302174
187	0.3700207849
188	0.3699691201
189	0.3699691068
190	0.3693832894
191	0.3693275767
192	0.3690509819
193	0.369008608
194	0.3690082794
195	0.3675909012
196	0.3675771464
197	0.3660542481
198	0.3653964003
199	0.3652772787
200	0.3639323707
201	0.3639321549
202	0.36369293
203	0.3635937193
204	0.3635936499
205	0.3634613163
206	0.3629600302
207	0.3629576746
208	0.3627713038
209	0.362748248
210	0.3621969924
211	0.3608944931
212	0.3600976442
213	0.3592423151
214	0.3584691356
215	0.3584375172
216	0.3583040616
217	0.3583040408
218	0.3582598955
219	0.3581817016
220	0.3581814497
221	0.3575909477
222	0.3573132738
223	0.3573115145
224	0.3573059926
225	0.3571853297
226	0.3571168894
227	0.3569071406
228	0.3561191138
229	0.3551630696
230	0.3546182368
231	0.3541685103
232	0.3535238443
233	0.3534995823
234	0.3532286615
235	0.3524561483
236	0.3516039852
237	0.3513362592
238	0.3508265615
239	0.34995363
240	0.349953412
241	0.3496196885
242	0.3489319963
243	0.3479389684
244	0.34793165
245	0.3467596444
246	0.3467596404
247	0.3462438867
248	0.3455937212
249	0.3455465515
250	0.3454028367
251	0.3446339357
252	0.3446338049
253	0.3442531322
254	0.3442489397
255	0.3435613407
256	0.3425535842
257	0.342247791
258	0.3419340967
259	0.3410587936
260	0.3410452224
261	0.3395541018
262	0.3392282525
263	0.3377057757
264	0.3376930222
265	0.3367685884
266	0.336264771
267	0.3350899565
268	0.3347891295
269	0.3347870964
270	0.3346523682
271	0.3335121955
272	0.3326762109
273	0.3326454784
274	0.332427321
275	0.3314062867
276	0.3313667146
277	0.3303279942
278	0.3299010332
279	0.3291440767
280	0.3283248333
