iter	Logloss
0	0.6796777578
1	0.6673313144
2	0.6540403742
3	0.6433673254
4	0.6335931836
5	0.622916947
6	0.6136333895
7	0.6051597689
8	0.5957965473
9	0.5881354508
10	0.5810792604
11	0.5745801444
12	0.5677256077
13	0.5641033121
14	0.558300641
15	0.5544789207
16	0.5479087516
17	0.5437449571
18	0.5392629922
19	0.536799294
20	0.5322377483
21	0.52853676
22	0.524195439
23	0.5213019815
24	0.5187075716
25	0.5148853057
26	0.5126537193
27	0.5091670678
28	0.5059244375
29	0.5038707349
30	0.5015732369
31	0.4989171034
32	0.4960796745
33	0.4937033635
34	0.4912406296
35	0.4888013212
36	0.4868935387
37	0.4842378392
38	0.4818731737
39	0.4806704864
40	0.4782547265
41	0.4764656298
42	0.4738774669
43	0.4718937893
44	0.4699053965
45	0.4677130136
46	0.4654373151
47	0.4639227786
48	0.4622883894
49	0.4611898176
50	0.4599863041
51	0.4590021631
52	0.4586680787
53	0.4569975179
54	0.4555564248
55	0.4550251686
56	0.454505123
57	0.4532566512
58	0.451966541
59	0.4506615424
60	0.4494637252
61	0.4490318626
62	0.4486364525
63	0.4482326791
64	0.4471897213
65	0.4468467966
66	0.4464101188
67	0.4452445078
68	0.4449153998
69	0.4437271476
70	0.4432284623
71	0.4427708474
72	0.4423956848
73	0.4416688535
74	0.4415368566
75	0.4405114411
76	0.4399502713
77	0.4390848693
78	0.4384617813
79	0.4383586592
80	0.438260585
81	0.4372331639
82	0.4368558476
83	0.4367871846
84	0.4365308129
85	0.436143046
86	0.4351778545
87	0.4348873158
88	0.4341065013
89	0.4339360158
90	0.433873049
91	0.4334539339
92	0.4327608263
93	0.4320715808
94	0.4319888435
95	0.4319404624
96	0.4311691581
97	0.4307128868
98	0.4302108198
99	0.4300972748
100	0.4296780273
101	0.4290690012
102	0.428972031
103	0.4289008609
104	0.4287908978
105	0.4283870301
106	0.4283593194
107	0.4283329491
108	0.4280434164
109	0.4280163022
110	0.4273980098
111	0.4273242626
112	0.4273036205
113	0.4271620179
114	0.42678761
115	0.4267254994
116	0.4266605481
117	0.4264253974
118	0.4257376958
119	0.425119258
120	0.4251031502
121	0.4250440484
122	0.4250279884
123	0.4249720369
124	0.4249581187
125	0.424909841
126	0.4248117627
127	0.4247650635
128	0.4244696053
129	0.4244573185
130	0.4242317105
131	0.4242313587
132	0.4236983684
133	0.4236347595
134	0.4234846025
135	0.4233681926
136	0.4229972158
137	0.4226033409
138	0.4226032212
139	0.4225209292
140	0.422520902
141	0.4221450096
142	0.4219493958
143	0.4219149337
144	0.4217976052
145	0.4215166212
146	0.4215165999
147	0.4210599353
148	0.4203923678
149	0.4203887571
150	0.4202720429
151	0.4202718848
152	0.4202718753
153	0.4202718399
154	0.4202718305
155	0.4201762315
156	0.4198538788
157	0.4198537399
158	0.4198536201
159	0.4198535823
160	0.4198268945
161	0.4192812598
162	0.419241109
163	0.4188616603
164	0.4188616447
165	0.4188615437
166	0.418723077
167	0.4187227715
168	0.4187227468
169	0.4186998567
170	0.4183289338
171	0.4178161374
172	0.4176926615
173	0.4176926475
174	0.4172658369
175	0.4172658171
176	0.4172657837
177	0.4172458596
178	0.4172458577
179	0.416853633
180	0.4166358755
181	0.4166358579
182	0.4166333715
183	0.4166154509
184	0.4165987393
185	0.4165987205
186	0.4165987178
187	0.4165987152
188	0.4165712177
189	0.4165331084
190	0.4165328576
191	0.4161293851
192	0.416082501
193	0.416082494
194	0.4160668382
195	0.4157909897
196	0.4157884389
197	0.4157496432
198	0.4157479128
199	0.415506701
200	0.4154775467
201	0.4154775437
202	0.4153754318
203	0.4152586378
204	0.4151901138
205	0.4148341443
206	0.414443874
207	0.4143660912
208	0.414218918
209	0.4140223826
210	0.413971135
211	0.4139333796
212	0.4135307138
213	0.4135182162
214	0.4132140624
215	0.4131780236
216	0.4131579367
217	0.413131501
218	0.412913343
219	0.4128789126
220	0.4124995506
221	0.4120798206
222	0.4116216248
223	0.411613917
224	0.411491656
225	0.4114916495
226	0.4114729402
227	0.41102858
228	0.4108541689
229	0.4108140726
230	0.4108140724
231	0.4107012443
232	0.4104856571
233	0.4104794852
234	0.4103806569
235	0.4100757719
236	0.4098824812
237	0.4098771177
238	0.4097668847
239	0.4093010746
240	0.4087330775
241	0.4081959173
242	0.408195917
243	0.4081701563
244	0.408170154
245	0.4081583384
246	0.4081303672
247	0.4081303622
248	0.4079629804
249	0.4079629755
250	0.4079589182
251	0.4079374037
252	0.4079336728
253	0.4078539783
254	0.4076545478
255	0.4076545476
256	0.4073573993
257	0.4071974349
258	0.4071942162
259	0.4071912073
260	0.4070764629
261	0.4065955574
262	0.4064590379
263	0.406438431
264	0.4064358659
265	0.4061409681
266	0.4060682025
267	0.4060658287
268	0.40595309
269	0.4056780513
270	0.4056780504
271	0.4053785496
272	0.4053726274
273	0.4053726265
274	0.4053726235
275	0.4050540456
276	0.4049730202
277	0.4049109454
278	0.4049109434
279	0.404875107
280	0.4048302144
281	0.4045184709
282	0.4045168516
283	0.4045151727
284	0.4045040924
285	0.4043122085
286	0.4040433264
287	0.4039596843
288	0.4038042817
289	0.4038012786
290	0.4037812631
291	0.4035117218
292	0.4035117216
293	0.4034761953
294	0.4034684897
295	0.4034501461
296	0.4032220433
297	0.4030626171
298	0.4029407175
299	0.4028997939
300	0.4028995444
301	0.4025740713
302	0.4025729138
303	0.4025131448
304	0.4025121022
305	0.4025109498
306	0.4024685851
307	0.4024676345
308	0.4024665815
309	0.4022220067
310	0.4018540326
311	0.401697823
312	0.4016968993
313	0.4016907714
314	0.4015061981
315	0.4015025463
316	0.4014864997
317	0.4014654484
318	0.4012096864
319	0.401178497
320	0.401145053
321	0.4011445067
322	0.4007862088
323	0.4007694961
324	0.4007546695
325	0.4007517685
326	0.4007457912
327	0.4007451674
328	0.4005692614
329	0.4005586591
330	0.4002998982
331	0.4002970026
332	0.4002965228
333	0.3999088883
334	0.3998983318
335	0.399590542
336	0.399590193
337	0.3994166836
338	0.3993883861
339	0.3993879448
340	0.399387659
341	0.399387252
342	0.3990914402
343	0.3990661793
344	0.3987602021
345	0.3985895611
346	0.3985893494
347	0.3985751461
348	0.3982820331
349	0.3982819973
350	0.3982816556
351	0.3982655116
352	0.3982517447
353	0.3981339749
354	0.3980740143
355	0.3980739049
356	0.3978643908
357	0.3978623373
358	0.3978233931
359	0.3975985092
360	0.3975984574
361	0.3971275109
362	0.3971274623
363	0.3970590965
364	0.3970590477
365	0.3970588858
366	0.3970588075
367	0.3970587804
368	0.397049891
369	0.3969129919
370	0.3967157703
371	0.3964759728
372	0.3961617376
373	0.3957085609
374	0.3953461401
375	0.395276192
376	0.3950107004
377	0.3948755512
378	0.3948755307
379	0.3943209937
380	0.3941951785
381	0.3941681743
382	0.3941681218
383	0.394092586
384	0.3938084917
385	0.3934045099
386	0.3934045075
387	0.392958754
388	0.3929136308
389	0.3928546331
390	0.3928546305
391	0.3928546278
392	0.3926124402
393	0.3926124342
394	0.3923335297
395	0.3920594928
396	0.3920594825
397	0.3917848455
398	0.3914658706
399	0.3914656421
400	0.3912841575
401	0.3912839392
402	0.3912324135
403	0.391086916
404	0.3908603017
405	0.3906406345
406	0.390640624
407	0.3905458374
408	0.3902938882
409	0.3899180529
410	0.389918049
411	0.3899178467
412	0.3899062932
413	0.3894654006
414	0.3894653896
415	0.3894653889
416	0.3894573344
417	0.389263329
418	0.3892633234
419	0.3892530989
420	0.3890480789
421	0.3890282347
422	0.3890282202
423	0.3890282186
424	0.3888326696
425	0.3884877122
426	0.3882557765
427	0.388003669
428	0.387868038
429	0.3877428791
430	0.3877428718
431	0.387742093
432	0.387742091
433	0.3874887102
434	0.3872409454
435	0.3870470043
436	0.386840987
437	0.3865394837
438	0.3863837369
439	0.3861163926
440	0.3859059283
441	0.3857124617
442	0.3855248655
443	0.3853008832
444	0.3853008758
445	0.3850956237
446	0.3850956221
447	0.3848495796
448	0.3848495731
449	0.3848495687
450	0.3845102725
451	0.3843249037
452	0.3841889595
453	0.3839751238
454	0.3838214972
455	0.3838214917
456	0.3836340305
457	0.3832883342
458	0.3831567638
459	0.3831567552
460	0.3829120245
461	0.3827314537
462	0.3827314368
463	0.382586058
464	0.3822094133
465	0.3820605038
466	0.3818358446
467	0.3818358311
468	0.3816788495
469	0.3816788482
470	0.3816785435
471	0.3816785363
472	0.3816785159
473	0.3815272915
474	0.3814092051
475	0.3812225394
476	0.3810797151
477	0.3810775377
478	0.3808841912
479	0.3808841701
480	0.3807425621
481	0.3807425441
482	0.3804204651
483	0.3804204543
484	0.3803120461
485	0.3802227287
486	0.3801330844
487	0.3801330807
488	0.3801330604
489	0.3801330568
490	0.3797832925
491	0.3795440198
492	0.3793477054
493	0.3790269096
494	0.3790228606
495	0.379014457
496	0.3790144562
497	0.3790144553
498	0.3788307974
499	0.3786669991
500	0.3784078354
501	0.3781805938
502	0.3778693365
503	0.37784528
504	0.3778445016
505	0.3778444905
506	0.3776651011
507	0.3776608623
508	0.3776608622
509	0.3773360587
510	0.3770454214
511	0.3768255803
512	0.3768255684
513	0.3768245184
514	0.3765132436
515	0.3765101079
516	0.3762373295
517	0.3761995532
518	0.3760823586
519	0.3760209135
520	0.3758194907
521	0.3755262258
522	0.3753259881
523	0.3753230447
524	0.375322671
525	0.3753226699
526	0.3751007523
527	0.3750656582
528	0.3748457874
529	0.3748457732
530	0.3746595779
531	0.3744549193
532	0.3741785366
533	0.3740337265
534	0.3738853989
535	0.3738822146
536	0.373597549
537	0.3733969064
538	0.3731941276
539	0.3727585381
540	0.3727578495
541	0.3726031635
542	0.3723765403
543	0.372226859
544	0.371880818
545	0.3716172849
546	0.3716172712
547	0.3716139408
548	0.3716114981
549	0.3714544721
550	0.37120543
551	0.3708009008
552	0.3705697916
553	0.3704739174
554	0.3703054074
555	0.3703024369
556	0.3702713925
557	0.3700988963
558	0.3700770943
559	0.3698238595
560	0.3696741901
561	0.3695287652
562	0.3695287623
563	0.3694288636
564	0.3693403542
565	0.3691818728
566	0.3690631573
567	0.3688812164
568	0.3688734253
569	0.368626205
570	0.3683695929
571	0.3683644562
572	0.3681564531
573	0.368041918
574	0.3678125538
575	0.3675343082
576	0.3674532676
577	0.3673549775
578	0.3673456629
579	0.3671683272
580	0.3671662485
581	0.3669696836
582	0.3669649826
583	0.3668305311
584	0.3668280823
585	0.3668257871
586	0.3668257747
587	0.3665394805
588	0.3665360846
589	0.3664536689
590	0.3664516457
591	0.3663106488
592	0.3659667203
593	0.3657609419
594	0.3657058189
595	0.3656847818
596	0.3655752204
597	0.3655730161
598	0.3654961038
599	0.3654941768
600	0.3654915742
601	0.3653515631
602	0.3653493715
603	0.3651479331
604	0.3650631473
605	0.3648054361
606	0.3645466135
607	0.3645436073
608	0.3645418186
609	0.3645401205
610	0.364539953
