iter	Passed	Remaining
424	1840	2490
425	1843	2483
426	1850	2482
427	1853	2476
428	1856	2470
429	1860	2466
430	1866	2464
431	1870	2459
432	1876	2457
433	1883	2456
434	1889	2453
435	1891	2447
436	1897	2444
437	1900	2438
438	1902	2431
439	1905	2425
440	1912	2423
441	1918	2422
442	1924	2420
443	1931	2418
444	1938	2417
445	1941	2411
446	1948	2410
447	1954	2408
448	1957	2401
449	1964	2400
450	1968	2396
451	1974	2394
452	1980	2391
453	1987	2389
454	1993	2387
455	2000	2386
456	2006	2384
457	2013	2382
458	2019	2379
459	2025	2377
460	2028	2372
461	2035	2370
462	2041	2367
463	2044	2362
464	2049	2357
465	2055	2355
466	2061	2353
467	2065	2347
468	2067	2341
469	2075	2340
470	2078	2334
471	2081	2328
472	2087	2325
473	2093	2323
474	2096	2317
475	2103	2316
476	2112	2315
477	2118	2313
478	2125	2311
479	2127	2305
480	2133	2302
481	2140	2300
482	2147	2298
483	2154	2296
484	2156	2290
485	2163	2288
486	2171	2287
487	2174	2281
488	2179	2277
489	2185	2274
490	2188	2268
491	2194	2266
492	2201	2263
493	2208	2262
494	2214	2258
495	2219	2255
496	2222	2249
497	2226	2244
498	2232	2241
499	2239	2239
500	2242	2233
501	2247	2229
502	2250	2223
503	2264	2228
504	2273	2228
505	2280	2226
506	2282	2219
507	2288	2216
508	2291	2210
509	2295	2205
510	2297	2198
511	2302	2195
512	2309	2192
513	2315	2189
514	2319	2184
515	2325	2181
516	2329	2176
517	2336	2174
518	2343	2171
519	2350	2169
520	2356	2166
521	2363	2163
522	2371	2162
523	2377	2159
524	2383	2156
525	2389	2152
526	2395	2150
527	2402	2147
528	2407	2143
529	2414	2141
530	2420	2137
531	2423	2131
532	2429	2128
533	2432	2122
534	2438	2119
535	2441	2113
536	2444	2107
537	2449	2103
538	2458	2102
539	2463	2098
540	2469	2095
541	2472	2089
542	2475	2083
543	2478	2077
544	2484	2074
545	2490	2070
546	2493	2064
547	2500	2062
548	2503	2056
549	2509	2052
550	2515	2050
551	2522	2046
552	2526	2041
553	2528	2035
554	2534	2032
555	2538	2026
556	2544	2023
557	2551	2021
558	2557	2017
559	2564	2015
560	2572	2012
561	2578	2009
562	2585	2006
563	2591	2003
564	2595	1998
565	2602	1995
566	2605	1989
567	2612	1986
568	2618	1983
569	2624	1980
570	2628	1974
571	2633	1970
572	2636	1964
573	2652	1968
574	2655	1962
575	2659	1957
576	2666	1954
577	2672	1951
578	2675	1945
579	2681	1941
580	2687	1938
581	2697	1937
582	2703	1933
583	2707	1928
584	2710	1922
585	2717	1919
586	2723	1916
587	2730	1913
588	2733	1907
589	2740	1904
590	2747	1901
591	2751	1895
592	2756	1892
593	2759	1886
594	2765	1882
595	2772	1879
596	2775	1873
597	2778	1867
598	2783	1863
599	2790	1860
600	2793	1854
601	2799	1851
602	2805	1847
603	2808	1841
604	2814	1837
605	2817	1831
606	2823	1827
607	2828	1823
608	2831	1818
609	2837	1813
610	2840	1808
611	2847	1805
612	2854	1802
613	2857	1796
614	2870	1796
615	2880	1795
616	2887	1792
617	2893	1788
618	2900	1785
619	2906	1781
620	2913	1777
621	2915	1771
622	2921	1767
623	2926	1763
624	2929	1757
625	2935	1753
626	2942	1750
627	2947	1746
628	2954	1742
629	2957	1737
630	2965	1734
631	2968	1728
632	2975	1725
633	2982	1721
634	2989	1718
635	2996	1714
636	2998	1709
637	3004	1704
638	3010	1700
639	3017	1697
640	3020	1691
641	3026	1687
642	3028	1681
643	3034	1677
644	3041	1673
645	3047	1669
646	3052	1665
647	3058	1661
648	3064	1657
649	3067	1651
650	3070	1646
651	3076	1642
652	3082	1638
653	3089	1634
654	3092	1628
655	3098	1624
656	3104	1620
657	3111	1617
658	3114	1611
659	3119	1607
660	3126	1603
661	3132	1599
662	3138	1595
663	3144	1591
664	3150	1587
665	3153	1581
666	3163	1579
667	3170	1575
668	3173	1570
669	3180	1566
670	3186	1562
671	3189	1556
672	3195	1552
673	3201	1548
674	3204	1542
675	3209	1538
676	3216	1534
677	3222	1530
678	3228	1526
679	3234	1521
680	3240	1517
681	3245	1513
682	3252	1509
683	3258	1505
684	3264	1500
685	3266	1495
686	3269	1489
687	3275	1485
688	3277	1479
689	3284	1475
690	3287	1470
691	3289	1464
692	3295	1460
693	3302	1455
694	3308	1452
695	3314	1447
696	3320	1443
697	3323	1438
698	3330	1434
699	3333	1428
700	3339	1424
701	3345	1420
702	3351	1415
703	3360	1412
704	3372	1411
705	3381	1408
706	3385	1402
707	3388	1397
708	3396	1393
709	3402	1389
710	3411	1386
711	3419	1383
712	3425	1378
713	3431	1374
714	3438	1370
715	3444	1366
716	3451	1362
717	3456	1357
718	3459	1352
719	3462	1346
720	3479	1346
721	3483	1341
722	3485	1335
723	3491	1331
724	3497	1326
725	3501	1321
726	3508	1317
727	3514	1313
728	3518	1307
729	3524	1303
730	3530	1299
731	3536	1294
732	3544	1290
733	3550	1286
734	3556	1282
735	3564	1278
736	3571	1274
737	3579	1270
738	3585	1266
739	3591	1261
740	3597	1257
741	3603	1252
742	3606	1247
743	3609	1242
744	3615	1237
745	3621	1232
746	3627	1228
747	3642	1226
748	3648	1222
749	3651	1217
750	3657	1212
751	3661	1207
752	3666	1202
753	3668	1196
754	3671	1191
755	3674	1185
756	3679	1181
757	3686	1176
758	3692	1172
759	3694	1166
760	3698	1161
761	3704	1157
762	3707	1151
763	3710	1146
764	3716	1141
765	3722	1137
766	3724	1131
767	3730	1126
768	3738	1122
769	3741	1117
770	3744	1112
771	3752	1108
772	3759	1104
773	3767	1099
774	3774	1095
775	3779	1091
776	3783	1085
777	3788	1081
778	3791	1075
779	3794	1070
780	3800	1065
781	3803	1060
782	3805	1054
783	3808	1049
784	3810	1043
785	3816	1039
786	3819	1033
787	3825	1029
788	3829	1023
789	3831	1018
790	3837	1013
791	3843	1009
792	3846	1004
793	3855	1000
794	3861	995
795	3864	990
796	3866	984
797	3869	979
798	3875	974
799	3881	970
800	3884	965
801	3890	960
802	3897	956
803	3902	951
804	3908	946
805	3915	942
806	3921	937
807	3927	933
808	3929	927
809	3936	923
810	3938	917
811	3945	913
812	3951	908
813	3953	903
814	3956	898
815	3962	893
816	3971	889
817	3977	884
818	3983	880
819	3989	875
820	3992	870
821	3997	865
822	4004	861
823	4010	856
824	4012	851
825	4015	845
826	4017	840
827	4023	835
828	4029	831
829	4035	826
830	4038	821
831	4043	816
832	4046	811
833	4052	806
834	4058	802
835	4064	797
836	4071	792
837	4077	788
838	4083	783
839	4087	778
840	4093	774
841	4099	769
842	4105	764
843	4111	760
844	4118	755
845	4124	750
846	4130	746
847	4136	741
848	4141	736
849	4148	732
850	4153	727
851	4156	721
852	4174	719
853	4177	714
854	4183	709
855	4185	704
856	4191	699
857	4198	694
858	4204	690
859	4210	685
860	4215	680
861	4218	675
862	4224	670
863	4230	665
864	4236	661
865	4242	656
866	4249	651
867	4251	646
868	4258	641
869	4264	637
870	4269	632
871	4275	627
872	4281	622
873	4287	618
874	4291	613
875	4293	607
876	4300	603
877	4305	598
878	4312	593
879	4315	588
880	4318	583
881	4324	578
882	4330	573
883	4336	569
884	4343	564
885	4351	559
886	4360	555
887	4372	551
888	4378	546
889	4389	542
890	4397	537
891	4404	533
892	4407	528
893	4414	523
894	4419	518
895	4423	513
896	4429	508
897	4436	503
898	4441	499
899	4444	493
900	4451	489
901	4457	484
902	4464	479
903	4469	474
904	4475	469
905	4480	464
906	4484	459
907	4490	455
908	4494	449
909	4496	444
910	4502	439
911	4504	434
912	4510	429
913	4516	424
914	4522	420
915	4526	415
916	4531	410
917	4534	405
918	4541	400
919	4548	395
920	4551	390
921	4560	385
922	4567	381
923	4573	376
924	4580	371
925	4586	366
926	4590	361
927	4597	356
928	4600	351
929	4606	346
930	4608	341
931	4615	336
932	4630	332
933	4637	327
934	4644	322
935	4652	318
936	4658	313
937	4664	308
938	4669	303
939	4674	298
940	4680	293
941	4684	288
942	4691	283
943	4699	278
944	4720	274
945	4734	270
946	4741	265
947	4749	260
948	4760	255
949	4773	251
950	4782	246
951	4789	241
952	4796	236
953	4803	231
954	4810	226
955	4817	221
956	4822	216
957	4825	211
958	4828	206
959	4835	201
960	4841	196
961	4847	191
962	4853	186
963	4859	181
964	4863	176
965	4869	171
966	4875	166
967	4880	161
968	4886	156
969	4891	151
970	4898	146
971	4904	141
972	4907	136
973	4910	131
974	4915	126
975	4922	121
976	4928	116
977	4935	111
978	4943	106
979	4951	101
980	4956	95
981	4962	90
982	4967	85
983	4970	80
984	4976	75
985	4982	70
986	4987	65
987	4994	60
988	5001	55
989	5006	50
990	5012	45
991	5018	40
992	5024	35
993	5030	30
994	5035	25
995	5042	20
996	5045	15
997	5048	10
998	5052	5
999	5058	0
