iter	Logloss
0	0.6782392974
1	0.6658186357
2	0.6563730222
3	0.6482724134
4	0.6355269731
5	0.6255020772
6	0.6138208784
7	0.6079131654
8	0.6011657791
9	0.5922266692
10	0.5867895531
11	0.5783464462
12	0.5741944502
13	0.5693185599
14	0.5633179486
15	0.5561479979
16	0.5517478356
17	0.5449488333
18	0.540617881
19	0.5361182379
20	0.5312303239
21	0.5284700535
22	0.5243187918
23	0.5226155779
24	0.5203625675
25	0.5170346024
26	0.5155797338
27	0.5131105636
28	0.5099657219
29	0.5083975972
30	0.5055455066
31	0.504163911
32	0.5013218531
33	0.5004878242
34	0.4957468158
35	0.4918083933
36	0.4884385538
37	0.4878642334
38	0.4852563499
39	0.4821859165
40	0.4789278068
41	0.4752961203
42	0.4710849207
43	0.4696417441
44	0.4686935982
45	0.4681437512
46	0.467525959
47	0.4647920302
48	0.4644325299
49	0.4621021371
50	0.4616285586
51	0.4581337086
52	0.4573319419
53	0.455504917
54	0.4548625462
55	0.4533686599
56	0.4505956871
57	0.4491099242
58	0.4467112198
59	0.4448045387
60	0.4441125445
61	0.4435937048
62	0.4432310571
63	0.4427924212
64	0.4414415087
65	0.4411007525
66	0.4394976114
67	0.4392244818
68	0.4390075024
69	0.4378227462
70	0.4377571409
71	0.4372687832
72	0.4367483008
73	0.4361372645
74	0.435907705
75	0.4343009575
76	0.4341106016
77	0.4340319892
78	0.4339315084
79	0.4326700234
80	0.4325875429
81	0.4319656728
82	0.4317866153
83	0.430505365
84	0.4304680067
85	0.429919813
86	0.4283235255
87	0.4283197452
88	0.4281397587
89	0.4277481253
90	0.425600711
91	0.4239219726
92	0.4225329624
93	0.4211098574
94	0.4202718381
95	0.4199022877
96	0.4198953619
97	0.419888966
98	0.4187048868
99	0.4179076264
100	0.417857653
101	0.4175515508
102	0.4171687522
103	0.4166705474
104	0.4162560703
105	0.4161481024
106	0.4153489574
107	0.4140587829
108	0.4132590075
109	0.4130901468
110	0.4130009177
111	0.4116631899
112	0.4098396719
113	0.4098364349
114	0.4097660933
115	0.4097260718
116	0.4090444623
117	0.4082872171
118	0.4081760503
119	0.4078848499
120	0.4074983425
121	0.4063810716
122	0.4063499284
123	0.4063498667
124	0.4062993228
125	0.4050830295
126	0.4044376558
127	0.4044064979
128	0.4039027863
129	0.4038881554
130	0.4024817382
131	0.4007687834
132	0.4007661673
133	0.3987184786
134	0.3981918433
135	0.3981788984
136	0.3980776682
137	0.3956769779
138	0.3945126158
139	0.3935723504
140	0.3935589517
141	0.3935288144
142	0.393510906
143	0.3928506462
144	0.3925576252
145	0.3904898333
146	0.3893883023
147	0.3879091832
148	0.3878821379
149	0.3878600381
150	0.3869251175
151	0.3863415983
152	0.3863415931
153	0.3855524929
154	0.3849880143
155	0.3846965682
156	0.3846962712
157	0.3831673211
158	0.3827030091
159	0.3817455954
160	0.3813698697
161	0.3813574644
162	0.3807047152
163	0.3807047036
164	0.3806554897
165	0.3795406361
166	0.3788997914
167	0.3778540365
168	0.3770921487
169	0.3763714405
170	0.3760504171
171	0.3760123584
172	0.3760123411
173	0.3760002822
174	0.3755620908
175	0.3751219059
176	0.3751103156
177	0.3750629428
178	0.375051902
179	0.3750501934
180	0.374620785
181	0.3737789856
182	0.3737768661
183	0.3727320587
184	0.3727008117
185	0.3721041429
186	0.3719272222
187	0.3719271391
188	0.3717658461
189	0.3715997903
190	0.3712049013
191	0.3706913665
192	0.3699633013
193	0.3698625762
194	0.3696757055
195	0.3696734872
196	0.3696719906
197	0.3695017554
198	0.3694577453
199	0.3687346632
200	0.3679454307
201	0.3671482746
202	0.3665525703
203	0.3665522488
204	0.3665293825
205	0.3665244331
206	0.3664967435
207	0.366479808
208	0.3664748268
209	0.3662056908
210	0.3661803516
211	0.3661798601
212	0.3659215277
213	0.3654856413
214	0.3654784274
215	0.3642153849
216	0.3641741576
217	0.3641686996
218	0.3639738968
219	0.3639712229
220	0.3637778961
221	0.3635164919
222	0.3635125232
223	0.3634758788
224	0.3634623308
225	0.3633719866
226	0.3628559923
227	0.3627674501
228	0.3627569085
229	0.3627568842
230	0.3624055862
231	0.3623542663
232	0.3616005351
233	0.3610801674
234	0.3610791585
235	0.3610789454
236	0.3599975917
237	0.3588224809
238	0.3587284676
239	0.3587063264
240	0.3581153924
241	0.3579422065
242	0.3579421931
243	0.3578834907
244	0.3578776561
245	0.3568712869
246	0.3557802686
247	0.3556240986
248	0.3549403885
249	0.3539830525
250	0.3536581598
251	0.3536376744
252	0.3536122409
253	0.352370073
254	0.3522594483
